"kod","nazev"
"3018","Hlavní město Praha"
"3026","Středočeský kraj"
"3034","Jihočeský kraj"
"3042","Plzeňský kraj"
"3051","Karlovarský kraj"
"3069","Ústecký kraj"
"3077","Liberecký kraj"
"3085","Královéhradecký kraj"
"3093","Pardubický kraj"
"3107","Kraj Vysočina"
"3115","Jihomoravský kraj"
"3123","Olomoucký kraj"
"3131","Zlínský kraj"
"3140","Moravskoslezský kraj"
"40169","Benešov - okres"
"40177","Beroun - okres"
"40185","Kladno - okres"
"40193","Kolín - okres"
"40207","Kutná Hora - okres"
"40215","Mělník - okres"
"40223","Mladá Boleslav - okres"
"40231","Nymburk - okres"
"40240","Praha-východ - okres"
"40258","Praha-západ - okres"
"40266","Příbram - okres"
"40274","Rakovník - okres"
"40282","České Budějovice - okres"
"40291","Český Krumlov - okres"
"40304","Jindřichův Hradec - okres"
"40312","Písek - okres"
"40321","Prachatice - okres"
"40339","Strakonice - okres"
"40347","Tábor - okres"
"40355","Domažlice - okres"
"40363","Klatovy - okres"
"40371","Plzeň-město - okres"
"40380","Plzeň-jih - okres"
"40398","Plzeň-sever - okres"
"40401","Rokycany - okres"
"40410","Tachov - okres"
"40428","Cheb - okres"
"40436","Karlovy Vary - okres"
"40444","Sokolov - okres"
"40452","Děčín - okres"
"40461","Chomutov - okres"
"40479","Litoměřice - okres"
"40487","Louny - okres"
"40495","Most - okres"
"40509","Teplice - okres"
"40517","Ústí nad Labem - okres"
"40525","Česká Lípa - okres"
"40533","Jablonec nad Nisou - okres"
"40541","Liberec - okres"
"40550","Semily - okres"
"40568","Hradec Králové - okres"
"40576","Jičín - okres"
"40584","Náchod - okres"
"40592","Rychnov nad Kněžnou - okres"
"40606","Trutnov - okres"
"40614","Chrudim - okres"
"40622","Pardubice - okres"
"40631","Svitavy - okres"
"40649","Ústí nad Orlicí - okres"
"40657","Havlíčkův Brod - okres"
"40665","Jihlava - okres"
"40673","Pelhřimov - okres"
"40681","Třebíč - okres"
"40690","Žďár nad Sázavou - okres"
"40703","Blansko - okres"
"40711","Brno-město - okres"
"40720","Brno-venkov - okres"
"40738","Břeclav - okres"
"40746","Hodonín - okres"
"40754","Vyškov - okres"
"40762","Znojmo - okres"
"40771","Jeseník - okres"
"40789","Olomouc - okres"
"40797","Prostějov - okres"
"40801","Přerov - okres"
"40819","Šumperk - okres"
"40827","Kroměříž - okres"
"40835","Uherské Hradiště - okres"
"40843","Vsetín - okres"
"40851","Zlín - okres"
"40860","Bruntál - okres"
"40878","Frýdek-Místek - okres"
"40886","Karviná - okres"
"40894","Nový Jičín - okres"
"40908","Opava - okres"
"40916","Ostrava-město - okres"
"40924","Praha - okres"
"500011","Želechovice nad Dřevnicí - obec"
"500020","Petrov nad Desnou - obec"
"500046","Libhošť - obec"
"500062","Krhová - obec"
"500071","Poličná - obec"
"500259","Veřovice - obec"
"500291","Vřesina - obec"
"500496","Olomouc - obec"
"500526","Bělkovice-Lašťany - obec"
"500623","Bílá Lhota - obec"
"500801","Blatec - obec"
"500852","Bohuňovice - obec"
"500861","Bouzov - obec"
"500879","Bystročice - obec"
"501476","Dlouhá Loučka - obec"
"501646","Dolany - obec"
"501751","Drahanovice - obec"
"501794","Dub nad Moravou - obec"
"501841","Grygov - obec"
"502146","Hlubočky - obec"
"502235","Hněvotín - obec"
"502405","Hnojice - obec"
"502545","Horka nad Moravou - obec"
"502839","Cholina - obec"
"503142","Jívová - obec"
"503304","Kožušany-Tážaly - obec"
"503410","Žitovlice - obec"
"503444","Litovel - obec"
"503622","Luká - obec"
"503657","Lutín - obec"
"503738","Majetín - obec"
"503916","Kostelec - obec"
"503941","Libavá - obec"
"504246","Mladeč - obec"
"504301","Dřenice - obec"
"504441","Náklo - obec"
"504505","Náměšť na Hané - obec"
"504785","Paseka - obec"
"504807","Lány - obec"
"504921","Třibřichy - obec"
"504955","Dvakačovice - obec"
"505005","Bítovany - obec"
"505013","Příkazy - obec"
"505030","Dolní Bezděkov - obec"
"505081","Senice na Hané - obec"
"505099","Červená Hora - obec"
"505111","Slatinice - obec"
"505145","Březová nad Svitavou - obec"
"505161","Štěpánov - obec"
"505188","Šternberk - obec"
"505218","Šumvald - obec"
"505269","Těšetice - obec"
"505293","Troubelice - obec"
"505366","Tršice - obec"
"505391","Bělá u Jevíčka - obec"
"505501","Újezd - obec"
"505528","Jenčice - obec"
"505587","Uničov - obec"
"505609","Velká Bystřice - obec"
"505650","Velký Týnec - obec"
"505668","Velký Újezd - obec"
"505781","Zápy - obec"
"505862","Žerotín - obec"
"505927","Opava - obec"
"506192","Bohuslavice - obec"
"506214","Bolatice - obec"
"506320","Brumovice - obec"
"506451","Březová - obec"
"506460","Budišov nad Budišovkou - obec"
"506486","Boží Dar - obec"
"506494","Nové Hamry - obec"
"506621","Čichalov - obec"
"506664","Skořice - obec"
"506699","Otmarov - obec"
"506702","Dolní Benešov - obec"
"506711","Dolní Lhota - obec"
"506729","Dvorce - obec"
"506737","Chvalčov - obec"
"506753","Háj ve Slezsku - obec"
"506761","Alojzov - obec"
"506770","Seloutky - obec"
"507016","Hlučín - obec"
"507091","Nýdek - obec"
"507105","Hněvošice - obec"
"507113","Holasovice - obec"
"507181","Pržno - obec"
"507237","Komorní Lhotka - obec"
"507261","Hrabyně - obec"
"507270","Hradec nad Moravicí - obec"
"507334","Chuchelná - obec"
"507377","Jakartovice - obec"
"507423","Janovice - obec"
"507458","Košařiska - obec"
"507504","Kobeřice - obec"
"507547","Milíkov - obec"
"507580","Kravaře - obec"
"507610","Doňov - obec"
"507628","Pleše - obec"
"507644","Újezdec - obec"
"507652","Višňová - obec"
"507695","Záhoří - obec"
"507717","Peč - obec"
"507733","Březina - obec"
"507784","Ratiboř - obec"
"507920","Litultovice - obec"
"507971","Ludgeřovice - obec"
"508004","Roseč - obec"
"508128","Markvartovice - obec"
"508144","Melč - obec"
"508152","Střížovice - obec"
"508357","Kostelní Vydří - obec"
"508373","Mokré Lazce - obec"
"508501","Lužnice - obec"
"508683","Záblatí - obec"
"509078","Plavsko - obec"
"509108","Kostelní Radouň - obec"
"509116","Červený Hrádek - obec"
"509141","Dvory nad Lužnicí - obec"
"509191","Cep - obec"
"509388","Arneštovice - obec"
"509418","Bořetín - obec"
"509574","Oldřišov - obec"
"509612","Otice - obec"
"509621","Předotice - obec"
"509647","Píšť - obec"
"509736","Pustá Polom - obec"
"509752","Křižanov - obec"
"509841","Raduň - obec"
"510068","Čečelovice - obec"
"510131","Skřipov - obec"
"510289","Slavkov - obec"
"510297","Služovice - obec"
"510343","Stěbořice - obec"
"510378","Sudice - obec"
"510432","Šilheřovice - obec"
"510483","Štěpánkovice - obec"
"510491","Štítina - obec"
"510556","Láz - obec"
"510645","Kojatín - obec"
"510882","Velká Polom - obec"
"510891","Velké Heraltice - obec"
"510939","Velké Hoštice - obec"
"510980","Ocmanice - obec"
"511021","Vítkov - obec"
"511081","Sedlec - obec"
"511161","Vršovice - obec"
"511242","Vícenice u Náměště nad Oslavou - obec"
"511307","Rácovice - obec"
"511382","Přerov - obec"
"511412","Oslavička - obec"
"511587","Josefov - obec"
"511633","Bocanovice - obec"
"511935","Bukovec - obec"
"511951","Dolní Lomná - obec"
"511986","Horní Lomná - obec"
"512028","Písek - obec"
"512176","Hrádek - obec"
"512184","Metylovice - obec"
"512192","Horní Domaslavice - obec"
"512231","Bělotín - obec"
"512281","Beňov - obec"
"512401","Bezuchov - obec"
"512532","Bochoř - obec"
"512745","Těškovice - obec"
"512800","Brodek u Přerova - obec"
"512826","Buk - obec"
"512869","Strahovice - obec"
"512877","Býškovice - obec"
"512893","Nové Lublice - obec"
"512907","Kyjovice - obec"
"512923","Chlebičov - obec"
